Brett Lee, Australia, 58, 1.87, 221, 39
Virat Kohli, India, 18, 1.75, 171, 27
Brian Lara, West Indies, 9, 1.73, 299, 47
Sachin Tendulkar, India, 10, 1.65, 463, 43
Daniel Vettori, New Zealand, 11, 1.91, 291, 37
Chris Gayle, West Indies, 45, 1.88, 269, 36
Joe Root, England, 5, 1.83, 73, 25
Mitchell Johnson, Australia, 25, 1.89, 153, 34
AB de Villiers, South Africa, 17, 1.80, 200, 32
Ian Bell, England, 7, 1.78, 161, 34
dh,ddhg,45,2.77,456,23
